,time,1. open,2. high,3. low,4. close,5. volume,day,hour
32,2022-09-26 12:00:00,277.5800,279.4000,277.1101,279.1777,1442110,26,12
33,2022-09-26 11:45:00,277.4300,279.3000,277.4000,277.5800,1516639,26,11
34,2022-09-26 11:30:00,279.6850,279.9000,277.3800,277.4299,1786645,26,11
35,2022-09-26 11:15:00,280.4900,281.0400,278.1400,279.6814,2148456,26,11
36,2022-09-26 11:00:00,282.0500,282.1100,279.4400,280.4441,2639850,26,11
37,2022-09-26 10:45:00,283.5100,283.7500,280.8200,282.0994,2885725,26,10
38,2022-09-26 10:30:00,282.4400,284.0900,281.9200,283.5800,3178658,26,10
39,2022-09-26 10:15:00,280.7200,282.8899,279.8600,282.3595,3839551,26,10
40,2022-09-26 10:00:00,276.1900,280.8000,275.3300,280.7300,4284469,26,10
41,2022-09-26 09:45:00,271.8300,278.3299,270.3100,276.1950,6930797,26,9
42,2022-09-26 09:30:00,272.9700,273.9800,271.0400,271.9600,379077,26,9
43,2022-09-26 09:15:00,273.0100,273.2000,271.6900,273.0400,152188,26,9
44,2022-09-26 09:00:00,272.0000,273.2000,271.8800,272.8600,179341,26,9
45,2022-09-26 08:45:00,271.2700,272.4900,271.1500,272.0000,136311,26,8
46,2022-09-26 08:30:00,270.2000,271.8900,269.8000,271.2700,189672,26,8
47,2022-09-26 08:15:00,274.2199,277.8788,270.0500,270.1000,286043,26,8
48,2022-09-26 08:00:00,272.7300,272.7300,271.3500,272.2600,112287,26,8
49,2022-09-26 07:45:00,273.3900,273.3900,272.5000,272.7600,78029,26,7
50,2022-09-26 07:30:00,273.4000,273.7800,273.0000,273.3600,55947,26,7
51,2022-09-26 07:15:00,274.2200,274.6000,273.1200,273.4500,59280,26,7
52,2022-09-26 07:00:00,274.8800,274.8800,274.3000,274.3000,16571,26,7
53,2022-09-26 06:45:00,274.8800,275.0000,274.6500,275.0000,18463,26,6
54,2022-09-26 06:30:00,273.9700,274.6700,273.9700,274.6700,18902,26,6
55,2022-09-26 06:15:00,273.9300,274.5000,273.6500,273.8000,25936,26,6
56,2022-09-26 06:00:00,273.7000,274.5000,273.3000,273.8800,30496,26,6
57,2022-09-26 05:45:00,276.2400,276.2400,273.5000,274.3400,54434,26,5
58,2022-09-26 05:30:00,277.1900,277.1900,276.1000,276.1400,33501,26,5
59,2022-09-26 05:15:00,277.7900,277.9300,277.1000,277.1400,21498,26,5
60,2022-09-26 05:00:00,277.5700,277.9300,277.3000,277.7700,17565,26,5
61,2022-09-26 04:45:00,278.6300,279.0000,277.0500,277.5000,38471,26,4
62,2022-09-26 04:30:00,276.3500,278.9700,276.0600,278.6000,59653,26,4
63,2022-09-26 04:15:00,275.3300,276.8400,274.7700,276.5000,94253,26,4
64,2022-09-23 20:00:00,275.3900,276.0000,275.3800,275.7500,38895,23,20
65,2022-09-23 19:45:00,275.7100,275.7400,275.2000,275.3900,21611,23,19
66,2022-09-23 19:30:00,275.8400,275.8500,275.6000,275.7100,16348,23,19
67,2022-09-23 19:15:00,275.3000,275.7600,275.3000,275.7000,18891,23,19
68,2022-09-23 19:00:00,275.3400,275.3500,275.2400,275.3300,4369,23,19
69,2022-09-23 18:45:00,275.2300,275.5000,275.1000,275.3600,10274,23,18
70,2022-09-23 18:30:00,274.8200,275.2400,274.8200,275.2400,11250,23,18
71,2022-09-23 18:15:00,274.9900,275.0000,274.8300,274.8300,8902,23,18
72,2022-09-23 18:00:00,274.8500,274.9700,274.8500,274.9700,4792,23,18
73,2022-09-23 17:45:00,274.9600,275.0200,274.8500,274.8700,16212,23,17
74,2022-09-23 17:30:00,275.0100,275.0500,274.9600,275.0000,27317,23,17
75,2022-09-23 17:15:00,274.9900,275.0500,274.8500,275.0100,37032,23,17
76,2022-09-23 17:00:00,275.5100,275.5200,274.8700,274.9900,186628,23,17
77,2022-09-23 16:45:00,275.4800,275.6000,275.3500,275.6000,49278,23,16
78,2022-09-23 16:30:00,275.4600,275.6000,275.3800,275.4500,60135,23,16
